[ 270000] Loss: 25.75338 time: (868.2, 366.5) vloss: 44.128 CER: 0.1913 NER: 0.2080 lr: 0.00032 bAcc: 3.2, bNER: 1000000.0000, bCER: 0.1928, B: 62.75
[ 275000] Loss: 25.33243 time: (864.6, 367.0) vloss: 43.612 CER: 0.1897 NER: 0.2063 lr: 0.00030 bAcc: 3.3, bNER: 1000000.0000, bCER: 0.1923, B: 62.85
[ 280000] Loss: 25.98565 time: (868.9, 367.1) vloss: 43.526 CER: 0.1883 NER: 0.2061 lr: 0.00028 bAcc: 3.3, bNER: 1000000.0000, bCER: 0.1917, B: 63.33
[ 285000] Loss: 24.89621 time: (864.0, 367.2) vloss: 43.319 CER: 0.1860 NER: 0.2030 lr: 0.00026 bAcc: 3.4, bNER: 1000000.0000, bCER: 0.1917, B: 63.70
[ 290000] Loss: 24.44750 time: (864.8, 368.5) vloss: 43.202 CER: 0.1852 NER: 0.2019 lr: 0.00024 bAcc: 3.5, bNER: 1000000.0000, bCER: 0.1917, B: 63.64
[ 295000] Loss: 24.01836 time: (864.6, 366.8) vloss: 42.813 CER: 0.1834 NER: 0.1998 lr: 0.00023 bAcc: 3.6, bNER: 1000000.0000, bCER: 0.1910, B: 64.38
[ 300000] Loss: 23.99665 time: (869.6, 365.0) vloss: 42.721 CER: 0.1836 NER: 0.2018 lr: 0.00022 bAcc: 3.6, bNER: 1000000.0000, bCER: 0.1904, B: 64.03
[ 305000] Loss: 23.37053 time: (864.2, 368.3) vloss: 42.324 CER: 0.1823 NER: 0.2009 lr: 0.00020 bAcc: 3.6, bNER: 1000000.0000, bCER: 0.1890, B: 63.98
[ 310000] Loss: 23.09807 time: (866.5, 367.7) vloss: 42.382 CER: 0.1809 NER: 0.1998 lr: 0.00019 bAcc: 3.6, bNER: 1000000.0000, bCER: 0.1875, B: 63.98
[ 315000] Loss: 23.08615 time: (874.5, 373.7) vloss: 42.019 CER: 0.1802 NER: 0.1980 lr: 0.00018 bAcc: 3.8, bNER: 1000000.0000, bCER: 0.1874, B: 64.62
[ 320000] Loss: 23.08518 time: (878.7, 374.2) vloss: 41.865 CER: 0.1792 NER: 0.1956 lr: 0.00017 bAcc: 3.9, bNER: 1000000.0000, bCER: 0.1872, B: 65.11
[ 325000] Loss: 22.75953 time: (883.3, 373.2) vloss: 42.162 CER: 0.1803 NER: 0.1972 lr: 0.00016 bAcc: 3.9, bNER: 1000000.0000, bCER: 0.1872, B: 64.68
[ 330000] Loss: 22.46383 time: (868.2, 371.1) vloss: 41.697 CER: 0.1788 NER: 0.1946 lr: 0.00015 bAcc: 3.9, bNER: 1000000.0000, bCER: 0.1861, B: 65.26
[ 335000] Loss: 21.91343 time: (867.1, 370.7) vloss: 41.214 CER: 0.1778 NER: 0.1946 lr: 0.00014 bAcc: 3.9, bNER: 1000000.0000, bCER: 0.1855, B: 64.76
[ 340000] Loss: 21.83071 time: (870.0, 370.5) vloss: 40.791 CER: 0.1756 NER: 0.1927 lr: 0.00013 bAcc: 3.9, bNER: 1000000.0000, bCER: 0.1849, B: 65.05
[ 345000] Loss: 21.35727 time: (867.1, 364.2) vloss: 40.776 CER: 0.1752 NER: 0.1912 lr: 0.00012 bAcc: 4.1, bNER: 1000000.0000, bCER: 0.1825, B: 65.39
